2015-02-18 14:55:12,810 INFO  [DefaultSoapUICore] initialized soapui-settings from [C:\Users\chernyshov\soapui-settings.xml]
2015-02-18 14:55:14,014 INFO  [WsdlProject] Loaded project from [file:/E:/SoapUI/CheckQuotesService-soapui-project.xml]
2015-02-18 14:55:14,310 INFO  [SoapUITestCaseRunner] Running SoapUI tests in project [CheckQuotesService]
2015-02-18 14:55:14,310 INFO  [SoapUITestCaseRunner] Running Project [CheckQuotesService], runType = SEQUENTIAL
2015-02-18 14:55:14,310 INFO  [SoapUITestCaseRunner] Running SoapUI testcase [TestCase 1]
2015-02-18 14:55:14,326 INFO  [SoapUITestCaseRunner] running step [CheckQuotes - Request 1]
2015-02-18 14:55:28,903 INFO  [SoapUITestCaseRunner] Assertion [SOAP Response] has status VALID
2015-02-18 14:55:28,903 INFO  [SoapUITestCaseRunner] Finished running SoapUI testcase [TestCase 1], time taken: 14578ms, status: FINISHED
2015-02-18 14:55:28,903 INFO  [SoapUITestCaseRunner] Running SoapUI testcase [TestCase 1]
2015-02-18 14:55:28,903 INFO  [SoapUITestCaseRunner] running step [CheckQuotes - Request 1]
2015-02-18 14:55:28,934 INFO  [SoapUITestCaseRunner] Assertion [SOAP Response] has status VALID
2015-02-18 14:55:28,934 INFO  [SoapUITestCaseRunner] Finished running SoapUI testcase [TestCase 1], time taken: 25ms, status: FINISHED
2015-02-18 14:55:28,934 INFO  [SoapUITestCaseRunner] Project [CheckQuotesService] finished with status [FINISHED] in 14624ms
